"total distance of drones";"distance per drone";"tick"
0.7848000000000184;0.0981000000000023;1.0
5.187100146789557;0.6483875183486947;3.0
14.722882102935955;1.8403602628669944;5.0
29.09861856837487;3.637327321046859;7.0
47.36884173775253;5.921105217219067;9.0
68.22077926644056;8.52759740830507;11.0
90.80724595403855;11.350905744254819;13.0
115.03370901519114;14.379213626898892;15.0
140.1398825466299;17.51748531832874;17.0
165.84702756157157;20.730878445196446;19.0
191.3314798296352;23.9164349787044;21.0
216.96327862893298;27.120409828616623;23.0
242.98410520944208;30.37301315118026;25.0
268.7876990619807;33.598462382747584;27.0
294.0256406025715;36.75320507532144;29.0
318.73273813842155;39.841592267302694;31.0
343.6254596886279;42.95318246107849;33.0
368.9554483821153;46.119431047764415;35.0
394.56698624127495;49.32087328015937;37.0
420.43363466456753;52.55420433307094;39.0
446.3732145657209;55.79665182071511;41.0
471.14350537437815;58.89293817179727;43.0
495.78128248123977;61.97266031015497;45.0
519.9495239506448;64.9936904938306;47.0
543.8250853208308;67.97813566510385;49.0
566.8090511058138;70.85113138822672;51.0
588.501073701144;73.562634212643;53.0
609.1177361196092;76.13971701495115;55.0
628.3172909754975;78.53966137193719;57.0
646.2805281623104;80.7850660202888;59.0
663.879266688816;82.984908336102;61.0
680.2349876111997;85.02937345139996;63.0
695.6045569779044;86.95056962223805;65.0
710.4208955211741;88.80261194014676;67.0
723.6593449002838;90.45741811253548;69.0
737.003103521888;92.125387940236;71.0
749.7028614369223;93.71285767961528;73.0
762.7419453196158;95.34274316495197;75.0
775.5080897006013;96.93851121257516;77.0
789.0129340091638;98.62661675114548;79.0
803.2934028850452;100.41167536063065;81.0
819.4923618189958;102.43654522737448;83.0
837.6399502509918;104.70499378137397;85.0
857.576958500345;107.19711981254312;87.0
878.6694099762921;109.83367624703651;89.0
901.0888406636495;112.63610508295619;91.0
923.9194746109431;115.48993432636789;93.0
947.5972330330245;118.44965412912806;95.0
972.2531126017725;121.53163907522156;97.0
997.5034576105239;124.68793220131549;99.0
1023.2624075135597;127.90780093919496;101.0
1049.4272865123394;131.17841081404242;103.0
1075.8983915535437;134.48729894419296;105.0
1102.5820853237267;137.82276066546584;107.0
1129.380100920056;141.172512615007;109.0
1155.552614574157;144.4440768217696;111.0
1181.1249044187116;147.64061305233895;113.0
1207.2949796143175;150.9118724517897;115.0
1232.3469229220516;154.04336536525645;117.0
1257.2049930579367;157.1506241322421;119.0
1281.5134134420834;160.18917668026043;121.0
1306.1826410151516;163.27283012689395;123.0
1330.0981575056453;166.26226968820566;125.0
1353.717970179226;169.21474627240326;127.0
1377.1464052278172;172.14330065347716;129.0
1400.3600787804673;175.04500984755842;131.0
1423.769156286396;177.9711445357995;133.0
1447.1339314920056;180.8917414365007;135.0
1469.8329108948194;183.72911386185243;137.0
1491.791893112985;186.47398663912313;139.0
1513.0112094425083;189.12640118031354;141.0
1534.312466515535;191.7890583144419;143.0
1554.749539689779;194.3436924612224;145.0
1574.8535866177224;196.8566983272153;147.0
1594.037531208289;199.25469140103613;149.0
1613.6889377500472;201.7111172187559;151.0
1633.1840637199678;204.14800796499597;153.0
1651.5706867615734;206.44633584519667;155.0
1669.5626955570108;208.69533694462635;157.0
1687.9760835697043;210.99701044621304;159.0
1705.8634495892636;213.23293119865795;161.0
1724.145992057668;215.5182490072085;163.0
1742.2644521551376;217.7830565193922;165.0
1760.8821922320592;220.1102740290074;167.0
1779.5185146511556;222.43981433139444;169.0
1798.3122834324145;224.7890354290518;171.0
1817.2832914236687;227.1604114279586;173.0
1837.4288267028937;229.67860333786172;175.0
1858.3481342304044;232.29351677880055;177.0
1880.7872007634917;235.09840009543646;179.0
1904.2678557452182;238.03348196815227;181.0
1928.7389898202377;241.09237372752972;183.0
1953.9285764162016;244.2410720520252;185.0
1979.6243306359443;247.45304132949303;187.0
2005.9482510314992;250.7435313789374;189.0
2033.1231760319652;254.14039700399564;191.0
2061.211735284947;257.65146691061835;193.0
2090.127736239734;261.26596702996676;195.0
2119.738210438627;264.9672763048284;197.0
2149.90641836916;268.738302296145;199.0
2180.1983238655916;272.52479048319896;201.0
2210.3343389369506;276.29179236711883;203.0
2240.0169593126143;280.0021199140768;205.0
2269.1438401180612;283.64298001475765;207.0
2297.7658929628665;287.2207366203583;209.0
2326.3211568489255;290.7901446061157;211.0
2353.71312939968;294.21414117496;213.0
2380.522609002183;297.56532612527286;215.0
2405.973341751488;300.746667718936;217.0
2430.8212184844506;303.8526523105563;219.0
2454.4621718979;306.8077714872375;221.0
2477.4494104923674;309.6811763115459;223.0
2499.713780246943;312.46422253086786;225.0
2521.278480187485;315.1598100234356;227.0
2541.588609387657;317.6985761734571;229.0
2561.095682700301;320.13696033753763;231.0
2580.389656321924;322.5487070402405;233.0
2598.6643276459963;324.83304095574954;235.0
2616.1127387916376;327.0140923489547;237.0
2633.7770835864167;329.2221354483021;239.0
2651.1042548119267;331.38803185149084;241.0
2667.9323790508092;333.49154738135115;243.0
2684.9516886720708;335.61896108400884;245.0
2702.869202700635;337.8586503375794;247.0
2720.8089478435227;340.10111848044033;249.0
2738.2839477094435;342.28549346368044;251.0
2754.05012277212;344.256265346515;253.0
2768.444376627441;346.05554707843015;255.0
2783.161727047068;347.8952158808835;257.0
2798.971769558672;349.871471194834;259.0
2816.017970647756;352.0022463309695;261.0
2834.1274938151173;354.26593672688966;263.0
2853.7511979254205;356.71889974067756;265.0
2874.1138450336625;359.2642306292078;267.0
2895.1913789354485;361.89892236693106;269.0
2916.358253118282;364.54478163978524;271.0
2937.884840174288;367.235605021786;273.0
2960.2560015039103;370.0320001879888;275.0
2983.039774442672;372.879971805334;277.0
3006.450307157824;375.806288394728;279.0
3030.637311462213;378.8296639327766;281.0
3055.8719383438915;381.98399229298644;283.0
3082.1858667706683;385.27323334633354;285.0
3109.6349963345056;388.7043745418132;287.0
3138.134644751602;392.26683059395026;289.0
3167.536573819826;395.94207172747826;291.0
3197.6792607345865;399.7099075918233;293.0
3228.41146517587;403.55143314698375;295.0
3259.6020514266943;407.4502564283368;297.0
3290.801419036079;411.3501773795099;299.0
3321.7441531189734;415.21801913987167;301.0
3352.8437110546975;419.1054638818372;303.0
3383.696157199225;422.96201964990314;305.0
3413.521532890589;426.6901916113236;307.0
3442.871547757852;430.3589434697315;309.0
3471.840075331262;433.98000941640777;311.0
3499.9594346628423;437.4949293328553;313.0
3527.696382436141;440.9620478045176;315.0
3555.1693613818866;444.3961701727358;317.0
3582.0897265365534;447.76121581706917;319.0
3608.0144974187583;451.0018121773448;321.0
3632.376469046247;454.0470586307809;323.0
3656.218160978867;457.0272701223584;325.0
3679.355205566172;459.9194006957715;327.0
3701.8324562591847;462.7290570323981;329.0
3723.3817078021016;465.4227134752627;331.0
3744.5519611831987;468.06899514789984;333.0
3764.749460336987;470.59368254212336;335.0
3784.2589640589645;473.03237050737056;337.0
3802.9525937456256;475.3690742182032;339.0
3819.282212363323;477.4102765454154;341.0
3834.668385738887;479.3335482173609;343.0
3850.854241303758;481.35678016296976;345.0
3866.671795032898;483.33397437911225;347.0
3883.051788414276;485.3814735517845;349.0
3899.9362415684755;487.49203019605943;351.0
3917.700594782161;489.7125743477701;353.0
3935.8794915948674;491.98493644935843;355.0
3955.379633653552;494.422454206694;357.0
3976.46076795984;497.05759599498;359.0
3998.4750603564003;499.80938254455003;361.0
4021.502589906063;502.68782373825786;363.0
