"nb drone landed";"nb drone plugged";"mean throttle";"tick"
0.0;0.0;0.0;1.0
0.0;0.0;1.0;3.0
0.0;0.0;1.0;5.0
0.0;0.0;1.0;7.0
0.0;0.0;1.0;9.0
0.0;0.0;1.0;11.0
0.0;0.0;1.0;13.0
0.0;0.0;1.0;15.0
0.0;0.0;1.0;17.0
0.0;0.0;1.0;19.0
0.0;0.0;1.0;21.0
0.0;0.0;1.0;23.0
0.0;0.0;1.0;25.0
0.0;0.0;1.0;27.0
0.0;0.0;1.0;29.0
0.0;0.0;1.0;31.0
0.0;0.0;1.0;33.0
0.0;0.0;1.0;35.0
0.0;0.0;1.0;37.0
0.0;0.0;1.0;39.0
0.0;0.0;1.0;41.0
0.0;0.0;1.0;43.0
0.0;0.0;1.0;45.0
0.0;0.0;1.0;47.0
0.0;0.0;1.0;49.0
0.0;0.0;1.0;51.0
0.0;0.0;1.0;53.0
0.0;0.0;1.0;55.0
0.0;0.0;1.0;57.0
0.0;0.0;1.0;59.0
0.0;0.0;1.0;61.0
0.0;0.0;1.0;63.0
0.0;0.0;1.0;65.0
0.0;0.0;1.0;67.0
0.0;0.0;1.0;69.0
0.0;0.0;1.0;71.0
0.0;0.0;1.0;73.0
0.0;0.0;1.0;75.0
0.0;0.0;1.0;77.0
0.0;0.0;1.0;79.0
0.0;0.0;1.0;81.0
0.0;0.0;1.0;83.0
0.0;0.0;1.0;85.0
0.0;0.0;1.0;87.0
0.0;0.0;1.0;89.0
0.0;0.0;1.0;91.0
0.0;0.0;1.0;93.0
0.0;0.0;1.0;95.0
0.0;0.0;1.0;97.0
0.0;0.0;1.0;99.0
0.0;0.0;1.0;101.0
0.0;0.0;1.0;103.0
0.0;0.0;1.0;105.0
0.0;0.0;1.0;107.0
0.0;0.0;1.0;109.0
0.0;0.0;1.0;111.0
0.0;0.0;1.0;113.0
0.0;0.0;1.0;115.0
0.0;0.0;1.0;117.0
0.0;0.0;1.0;119.0
0.0;0.0;1.0;121.0
0.0;0.0;1.0;123.0
0.0;0.0;1.0;125.0
0.0;0.0;1.0;127.0
0.0;0.0;1.0;129.0
0.0;0.0;1.0;131.0
0.0;0.0;1.0;133.0
0.0;0.0;1.0;135.0
0.0;0.0;1.0;137.0
0.0;0.0;1.0;139.0
0.0;0.0;1.0;141.0
0.0;0.0;1.0;143.0
0.0;0.0;1.0;145.0
0.0;0.0;1.0;147.0
0.0;0.0;1.0;149.0
0.0;0.0;1.0;151.0
0.0;0.0;1.0;153.0
0.0;0.0;1.0;155.0
0.0;0.0;1.0;157.0
0.0;0.0;1.0;159.0
0.0;0.0;1.0;161.0
0.0;0.0;1.0;163.0
0.0;0.0;1.0;165.0
0.0;0.0;1.0;167.0
0.0;0.0;1.0;169.0
0.0;0.0;1.0;171.0
0.0;0.0;1.0;173.0
0.0;0.0;1.0;175.0
0.0;0.0;1.0;177.0
0.0;0.0;1.0;179.0
0.0;0.0;1.0;181.0
0.0;0.0;1.0;183.0
0.0;0.0;1.0;185.0
0.0;0.0;1.0;187.0
0.0;0.0;1.0;189.0
0.0;0.0;1.0;191.0
0.0;0.0;1.0;193.0
0.0;0.0;1.0;195.0
0.0;0.0;1.0;197.0
0.0;0.0;1.0;199.0
0.0;0.0;1.0;201.0
0.0;0.0;1.0;203.0
0.0;0.0;1.0;205.0
0.0;0.0;1.0;207.0
0.0;0.0;1.0;209.0
0.0;0.0;1.0;211.0
0.0;0.0;1.0;213.0
0.0;0.0;1.0;215.0
0.0;0.0;1.0;217.0
0.0;0.0;1.0;219.0
0.0;0.0;1.0;221.0
0.0;0.0;1.0;223.0
0.0;0.0;1.0;225.0
0.0;0.0;1.0;227.0
0.0;0.0;1.0;229.0
0.0;0.0;1.0;231.0
0.0;0.0;1.0;233.0
0.0;0.0;1.0;235.0
0.0;0.0;1.0;237.0
0.0;0.0;1.0;239.0
0.0;0.0;1.0;241.0
0.0;0.0;1.0;243.0
0.0;0.0;1.0;245.0
0.0;0.0;1.0;247.0
0.0;0.0;1.0;249.0
0.0;0.0;1.0;251.0
0.0;0.0;1.0;253.0
0.0;0.0;1.0;255.0
0.0;0.0;1.0;257.0
0.0;0.0;1.0;259.0
0.0;0.0;1.0;261.0
0.0;0.0;1.0;263.0
0.0;0.0;1.0;265.0
0.0;0.0;1.0;267.0
0.0;0.0;1.0;269.0
0.0;0.0;1.0;271.0
0.0;0.0;1.0;273.0
0.0;0.0;1.0;275.0
0.0;0.0;1.0;277.0
0.0;0.0;1.0;279.0
0.0;0.0;1.0;281.0
0.0;0.0;1.0;283.0
0.0;0.0;1.0;285.0
0.0;0.0;1.0;287.0
0.0;0.0;1.0;289.0
0.0;0.0;1.0;291.0
0.0;0.0;1.0;293.0
0.0;0.0;1.0;295.0
0.0;0.0;1.0;297.0
