"NombrePackages";"tick"
0.0;1.0
0.0;31.0
0.0;61.0
1.0;91.0
2.0;121.0
4.0;151.0
8.0;181.0
8.0;211.0
9.0;241.0
10.0;271.0
11.0;301.0
11.0;331.0
16.0;361.0
17.0;391.0
17.0;421.0
18.0;451.0
19.0;481.0
23.0;511.0
23.0;541.0
23.0;571.0
23.0;601.0
23.0;631.0
23.0;661.0
23.0;691.0
23.0;721.0
23.0;751.0
23.0;781.0
23.0;811.0
23.0;841.0
23.0;871.0
23.0;901.0
24.0;931.0
24.0;961.0
27.0;991.0
28.0;1021.0
28.0;1051.0
29.0;1081.0
30.0;1111.0
30.0;1141.0
33.0;1171.0
33.0;1201.0
34.0;1231.0
36.0;1261.0
37.0;1291.0
37.0;1321.0
37.0;1351.0
37.0;1381.0
38.0;1411.0
39.0;1441.0
39.0;1471.0
40.0;1501.0
40.0;1531.0
40.0;1561.0
40.0;1591.0
40.0;1621.0
40.0;1651.0
40.0;1681.0
41.0;1711.0
42.0;1741.0
43.0;1771.0
43.0;1801.0
44.0;1831.0
44.0;1861.0
45.0;1891.0
47.0;1921.0
47.0;1951.0
47.0;1981.0
49.0;2011.0
50.0;2012.0
