"current electricity consumption";"tick"
0.0;1.0
800.0;3.0
800.0;5.0
800.0;7.0
800.0;9.0
800.0;11.0
800.0;13.0
800.0;15.0
800.0;17.0
800.0;19.0
800.0;21.0
800.0;23.0
800.0;25.0
800.0;27.0
800.0;29.0
800.0;31.0
800.0;33.0
800.0;35.0
800.0;37.0
800.0;39.0
800.0;41.0
800.0;43.0
800.0;45.0
800.0;47.0
800.0;49.0
800.0;51.0
800.0;53.0
800.0;55.0
800.0;57.0
800.0;59.0
800.0;61.0
800.0;63.0
800.0;65.0
800.0;67.0
800.0;69.0
800.0;71.0
800.0;73.0
800.0;75.0
800.0;77.0
800.0;79.0
800.0;81.0
800.0;83.0
800.0;85.0
800.0;87.0
800.0;89.0
800.0;91.0
800.0;93.0
800.0;95.0
800.0;97.0
800.0;99.0
800.0;101.0
800.0;103.0
800.0;105.0
800.0;107.0
800.0;109.0
800.0;111.0
800.0;113.0
800.0;115.0
800.0;117.0
800.0;119.0
800.0;121.0
800.0;123.0
800.0;125.0
800.0;127.0
800.0;129.0
800.0;131.0
800.0;133.0
800.0;135.0
800.0;137.0
800.0;139.0
800.0;141.0
800.0;143.0
800.0;145.0
800.0;147.0
800.0;149.0
800.0;151.0
800.0;153.0
800.0;155.0
800.0;157.0
800.0;159.0
800.0;161.0
800.0;163.0
800.0;165.0
800.0;167.0
800.0;169.0
800.0;171.0
800.0;173.0
800.0;175.0
800.0;177.0
800.0;179.0
800.0;181.0
800.0;183.0
800.0;185.0
800.0;187.0
800.0;189.0
800.0;191.0
800.0;193.0
800.0;195.0
800.0;197.0
800.0;199.0
800.0;201.0
800.0;203.0
800.0;205.0
800.0;207.0
800.0;209.0
800.0;211.0
800.0;213.0
800.0;215.0
800.0;217.0
800.0;219.0
800.0;221.0
800.0;223.0
800.0;225.0
800.0;227.0
800.0;229.0
800.0;231.0
800.0;233.0
800.0;235.0
800.0;237.0
800.0;239.0
800.0;241.0
800.0;243.0
800.0;245.0
800.0;247.0
800.0;249.0
800.0;251.0
800.0;253.0
800.0;255.0
800.0;257.0
800.0;259.0
800.0;261.0
800.0;263.0
800.0;265.0
800.0;267.0
800.0;269.0
800.0;271.0
800.0;273.0
800.0;275.0
800.0;277.0
800.0;279.0
800.0;281.0
800.0;283.0
800.0;285.0
800.0;287.0
800.0;289.0
800.0;291.0
800.0;293.0
800.0;295.0
800.0;297.0
800.0;299.0
800.0;301.0
800.0;303.0
800.0;305.0
800.0;307.0
800.0;309.0
800.0;311.0
800.0;313.0
800.0;315.0
800.0;317.0
800.0;319.0
800.0;321.0
800.0;323.0
800.0;325.0
800.0;327.0
800.0;329.0
800.0;331.0
800.0;333.0
800.0;335.0
800.0;337.0
800.0;339.0
800.0;341.0
800.0;343.0
800.0;345.0
800.0;347.0
800.0;349.0
800.0;351.0
800.0;353.0
800.0;355.0
800.0;357.0
800.0;359.0
800.0;361.0
800.0;363.0
800.0;365.0
800.0;367.0
800.0;369.0
800.0;371.0
800.0;373.0
800.0;375.0
800.0;377.0
800.0;379.0
800.0;381.0
800.0;383.0
800.0;385.0
800.0;387.0
800.0;389.0
800.0;391.0
800.0;393.0
800.0;395.0
800.0;397.0
800.0;399.0
800.0;401.0
800.0;403.0
800.0;405.0
800.0;407.0
800.0;409.0
800.0;411.0
800.0;413.0
800.0;415.0
800.0;417.0
800.0;419.0
800.0;421.0
800.0;423.0
800.0;425.0
800.0;427.0
800.0;429.0
800.0;431.0
800.0;433.0
800.0;435.0
800.0;437.0
800.0;439.0
800.0;441.0
800.0;443.0
800.0;445.0
800.0;447.0
800.0;449.0
800.0;451.0
800.0;453.0
800.0;455.0
800.0;457.0
800.0;459.0
800.0;461.0
800.0;463.0
800.0;465.0
800.0;467.0
800.0;469.0
800.0;471.0
800.0;473.0
